,UNIQUEID,DISBURSED_AMOUNT,ASSET_COST,LTV,BRANCH_ID,SUPPLIER_ID,MANUFACTURER_ID,CURRENT_PINCODE_ID,DATE_OF_BIRTH,EMPLOYMENT_TYPE,DISBURSAL_DATE,STATE_ID,EMPLOYEE_CODE_ID,MOBILENO_AVL_FLAG,AADHAR_FLAG,PAN_FLAG,VOTERID_FLAG,DRIVING_FLAG,PASSPORT_FLAG,PERFORM_CNS_SCORE,PERFORM_CNS_SCORE_DESCRIPTION,PRI_NO_OF_ACCTS,PRI_ACTIVE_ACCTS,PRI_OVERDUE_ACCTS,PRI_CURRENT_BALANCE,PRI_SANCTIONED_AMOUNT,PRI_DISBURSED_AMOUNT,SEC_NO_OF_ACCTS,SEC_ACTIVE_ACCTS,SEC_OVERDUE_ACCTS,SEC_CURRENT_BALANCE,SEC_SANCTIONED_AMOUNT,SEC_DISBURSED_AMOUNT,PRIMARY_INSTAL_AMT,SEC_INSTAL_AMT,NEW_ACCTS_IN_LAST_SIX_MONTHS,DELINQUENT_ACCTS_IN_LAST_SIX_MONTHS,AVERAGE_ACCT_AGE,CREDIT_HISTORY_LENGTH,NO_OF_INQUIRIES,LOAN_DEFAULT
76505,546663,56423,74370,79.33,3,17038,51,574,26-11-1979,Self employed,28-09-2018,15,149,1,1,1,0,0,0,741,C-Very Low Risk,5,3,0,56785,87290,68289,0,0,0,0,0,0,5118,0,1,0,0yrs 11mon,2yrs 3mon,0,0
96538,423139,42894,68944,63.82,62,22929,86,442,10-01-1983,Salaried,06-08-2018,11,895,1,1,0,0,0,0,654,F-Low Risk,3,2,0,104046,200000,200000,0,0,0,0,0,0,1014,0,0,0,1yrs 4mon,2yrs 8mon,0,1
5177,506710,67169,120400,57.31,1,22898,120,5104,01-01-1990,Self employed,14-09-2018,3,290,1,0,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
146908,476841,49203,66104,76.39,67,17530,86,1449,21-06-1987,Salaried,30-08-2018,6,970,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,1,0
117084,435129,54159,61712,89.93,67,17901,45,1446,01-01-1985,Salaried,13-08-2018,6,867,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
164923,496180,54989,71158,82.91,74,22928,86,2578,20-03-1983,Salaried,08-09-2018,4,2218,1,1,0,0,0,0,832,A-Very Low Risk,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 4mon,0yrs 6mon,0,0
110403,549093,57013,66821,88.3,152,14144,45,4944,06-01-1967,Self employed,29-09-2018,3,296,1,1,0,0,0,0,300,M-Very High Risk,5,1,3,190867,300000,300000,0,0,0,0,0,0,6810,0,0,0,2yrs 7mon,6yrs 0mon,0,1
65601,560182,52303,77285,68.58,9,16120,86,5458,10-11-1988,Self employed,06-10-2018,3,1475,1,1,0,0,0,0,18,Not Scored: No Updates available in last 36 months,2,1,0,45810,45300,45300,0,0,0,0,0,0,0,0,0,0,0yrs 5mon,0yrs 6mon,0,0
176645,588166,47449,75163,64.53,18,22708,86,2745,22-01-1994,Self employed,19-10-2018,4,2916,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
150770,435146,43394,54087,83.2,3,13960,45,87,01-01-1977,Self employed,13-08-2018,1,1983,1,1,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
